long,short,type,description,default
--path-a,-a,file path,source csv path,null
--path-b,-b,file path,comparison csv path (for diff),null
--rows,-r,integer,max rows to output (0 for unlimited),10
--output,-o,integer,output format (md|csv|pretty),pretty
--width,-w,integer,max width for pretty & md columns (5 - 50),16
